Geneid	pOka_M1_3
79501	0
148398	31
26155	1473
339451	214
84069	55
84808	29
57801	209
9636	119
375790	12677
401934	2
54991	261
254173	0
8784	0
7293	0
51150	4304
126792	735
388581	8
118424	712
6339	92
116983	670
126789	234
54973	1016
80772	482
83756	8
1855	1982
54587	505
54998	1288
81669	1803
55052	824
441869	1
643965	0
64856	2
219293	1
83858	210
55210	613
339453	59
29101	1683
643988	859
142678	581
8510	4
984	461
728661	489
728642	122
9906	743
65220	1222
2782	8119
163688	1
339456	1
85452	0
2563	0
5590	394
199990	926
6497	578
79906	79
11079	1997
5192	537
9651	1
55229	257
388585	0
8764	668
127281	736
79258	1
100287898	1
140625	0
63976	430
27237	31
1953	602
127262	1117
49856	286
7161	24
148870	0
388588	21
57470	748
9731	563
1677	58
339448	240
55966	35
261734	264
8514	167
26038	4
6146	9742
388591	198
23463	2683
390992	0
387509	87
11332	1023
54626	1
83715	0
8718	48
57449	277
79707	234
80835	1
3104	193
9903	1377
148479	568
90326	209
55735	769
23261	548
9341	2751
8863	864
10911	0
3604	20
11315	2605
54206	302
50651	69
473	1261
2023	53474
765	0
155184	0
6518	7
80045	29
9563	1173
80176	242
84275	112
199953	415
5293	223
22883	4904
56998	357
84328	404
64802	233
116362	2
10277	1546
23095	1336
5226	3400
378708	31
100526739	97
1325	6
1676	700
5195	438
54897	28
148345	0
23435	2867
10747	64
6723	1425
5394	1643
2475	1593
10218	229
29914	366
57540	2
26232	34
93611	669
26270	58
10459	570
374946	0
57085	762
284498	1
4524	324
1185	494
4878	9
4879	7
90231	1811
5351	5431
9927	2070
60672	155
943	0
7133	0
55187	1242
9249	2524
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	25
7799	446
23254	209
55092	136
727684	1
114827	2
79180	804
11330	0
63036	0
51032	3
842	138
23341	377
79814	3
84301	76
6248	116
23207	2363
284723	27
388595	0
54751	87
440567	127
23013	1294
7709	327
149563	1
27129	0
1187	2
1188	1
348487	31
1969	2937
128272	11
79363	24
54455	497
26099	3006
374955	0
55707	1117
100133301	0
55672	536
729574	0
729587	0
11223	7
9696	443
4237	0
23400	1319
6390	1488
11240	382
29943	311
51702	518
23569	0
353238	0
55920	1384
55160	642
81569	3
84966	0
127707	61
5081	0
80834	0
8659	241
126917	134
23352	3948
23065	2207
51154	786
22977	5
8574	1250
54896	387
832	2515
440574	648
100532736	5
4681	35
3362	0
255104	329
54546	0
23252	200
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	311
79594	678
163933	8
978	6
65018	1800
1650	8266
57576	26
400745	233
50809	2846
8672	2234
1889	3152
84224	98
249	0
5909	7
84196	1072
401944	5
3339	7400
23436	0
10136	0
998	3413
54361	1
9923	490
2046	0
712	0
714	0
713	0
2048	415
646262	0
729059	1
23028	1915
7798	1316
3352	44
10236	2987
80818	289
6920	16
55616	275
1870	86
3399	1022
6135	20798
6924	946
57095	664
11313	1525
2582	1363
3155	736
2517	1019
1269	0
55629	502
10772	589
127294	0
58985	5
163702	69
57822	2
90529	345
57185	1442
11123	102
400746	0
10250	1412
25932	4295
864	0
25949	1032
57035	462
6007	6
23585	1578
6006	0
55219	319
26119	580
57134	20
57190	3733
56181	819
79000	64
164091	94
3925	4173
5051	261
2134	5
7780	0
84676	0
149420	122
79927	0
51042	304
10256	0
378807	0
64793	329
83442	3648
91544	563
1043	0
55057	18
257101	0
79727	0
79947	517
3151	4662
6195	682
8289	1306
55650	333
84243	416
2810	39
54707	383
63906	188
8431	1
10726	2663
126695	0
388610	143
115572	1
6548	729
23038	1016
84065	600
84958	2
9064	225
8547	3
388611	0
2827	59
10163	3740
27245	1606
2268	0
2537	574
199870	122
23673	611
5511	776
9473	34
6118	874
27293	52
55113	262
2140	445
5724	11
22826	2558
93974	1683
83667	539
54797	298
65979	604
1104	1563
54952	280
115273	16
6883	376
10691	124
51441	1430
4985	0
2035	630
399474	9
6429	958
51102	353
10076	43
4146	12
7805	4
9672	1996
9698	2301
79570	0
9410	935
51538	630
2170	23
347735	1644
64129	2
3061	0
553115	1086
1307	22
576	288
90853	750
8073	2820
10657	2590
55116	169
23633	1065
200081	1281
79140	151
55721	142
149069	42
56063	141
8668	3829
84734	8
3932	0
3065	1108
65108	893
100128071	22
81629	124
55108	1363
728116	4
653121	187
339487	284
5928	2533
81493	164
57648	1892
8565	1452
64766	325
252995	2
3208	0
113452	715
127544	267
204	3566
113451	94
55223	109
149076	306
127550	0
1912	1968
7579	126
114784	1
127540	0
84970	0
2709	1
127534	0
2707	0
2701	0
113444	553
58512	0
100506144	307
9204	318
79830	269
6421	3266
9202	1323
79932	2076
23154	836
339488	11
5690	2442
127703	407
63967	316
192670	340
26523	527
192669	109
27285	3
54936	584
1296	54
27095	1050
55700	2076
9967	2740
79729	218
55194	277
83931	426
84967	347
127700	150
64960	1138
1441	0
2899	0
80149	295
64769	797
79753	323
7802	213
29889	946
284654	0
54955	324
55143	622
284656	6
149175	738
79693	257
127687	570
4520	404
3633	315
10946	2055
2275	358
51118	539
5453	1
64121	621
26292	506
81025	11
54933	62
79647	1135
4725	2125
23499	9760
643314	286
353500	55
8761	3110
26508	17
84618	0
51440	0
10450	618
656	81
64064	4
54802	334
4610	12
84879	32
10487	6555
5538	2928
6018	668
127391	1
10269	1157
1298	134
64744	375
65243	37
339559	67
64789	100
127396	52
9783	80
4802	648
9132	234
163732	70
1503	605
200172	6
22955	482
100132074	42
1907	95
59269	34
2981	0
2980	1
22887	762
284716	267
84217	7
79717	727
728621	40
10465	388
4904	15538
149461	0
64175	990
79078	133
100129924	2
374969	101
114625	192
51058	190
6513	23490
440585	1
10969	1062
149465	12
128218	8
149466	0
7075	6
4352	2
991	1298
64834	2079
112950	472
23334	721
81888	0
5792	7348
9682	724
6487	245
9048	6
9670	684
1802	531
533	1285
8704	971
149473	143
6536	24
128209	1
55929	525
79033	1051
55182	886
79639	119
339541	26
11004	934
6202	22787
6210	14350
266675	8
1263	358
343521	14
149478	89
8643	19
8891	330
79654	1011
7389	1512
57643	1
84842	2
4595	106
