Geneid	pOka_WT_2
79501	0
148398	35
26155	1440
339451	217
84069	54
84808	28
57801	261
9636	112
375790	12094
401934	1
54991	270
254173	0
8784	0
7293	0
51150	4272
126792	742
388581	9
118424	786
6339	89
116983	720
126789	224
54973	975
80772	466
83756	8
1855	1937
54587	470
54998	1412
81669	1855
55052	846
441869	4
643965	0
64856	2
219293	1
83858	217
55210	709
339453	61
29101	1722
643988	824
142678	573
8510	2
984	377
728661	440
728642	117
9906	674
65220	1174
2782	8197
163688	1
339456	0
85452	0
2563	0
5590	397
199990	966
6497	651
79906	78
11079	2003
5192	405
9651	1
55229	242
388585	0
8764	595
127281	638
79258	2
100287898	0
140625	0
63976	403
27237	34
1953	683
127262	1228
49856	305
7161	27
148870	2
388588	22
57470	808
9731	580
1677	64
339448	251
55966	50
261734	274
8514	146
26038	5
6146	9352
388591	182
23463	2802
390992	0
387509	84
11332	1077
54626	1
83715	0
8718	37
57449	235
79707	226
80835	3
3104	172
9903	1499
148479	566
90326	254
55735	725
23261	634
9341	2722
8863	696
10911	1
3604	10
11315	2649
54206	354
50651	72
473	1226
2023	48888
765	0
155184	0
6518	13
80045	28
9563	1017
80176	229
84275	146
199953	409
5293	196
22883	4594
56998	391
84328	401
64802	187
116362	1
10277	1608
23095	1285
5226	3490
378708	17
100526739	70
1325	3
1676	661
5195	437
54897	40
148345	0
23435	2830
10747	48
6723	1410
5394	1493
2475	1547
10218	290
29914	372
57540	1
26232	32
93611	590
26270	42
10459	586
374946	0
57085	763
284498	0
4524	297
1185	461
4878	12
4879	8
90231	1648
5351	4667
9927	1908
60672	180
943	0
7133	0
55187	1098
9249	2443
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	26
7799	494
23254	184
55092	169
727684	0
114827	0
79180	854
11330	1
63036	0
51032	4
842	153
23341	348
79814	1
84301	91
6248	105
23207	2285
284723	14
388595	0
54751	111
440567	159
23013	1315
7709	324
149563	0
27129	0
1187	0
1188	1
348487	27
1969	3056
128272	13
79363	26
54455	535
26099	2831
374955	0
55707	1106
100133301	0
55672	515
729574	0
729587	0
11223	21
9696	450
4237	0
23400	1481
6390	1592
11240	379
29943	419
51702	760
23569	0
353238	0
55920	1422
55160	684
81569	5
84966	0
127707	36
5081	0
80834	0
8659	248
126917	177
23352	3686
23065	1954
51154	819
22977	2
8574	1302
54896	456
832	2420
440574	720
100532736	1
4681	26
3362	1
255104	277
54546	0
23252	254
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	298
79594	647
163933	7
978	13
65018	1964
1650	7736
57576	11
400745	226
50809	2875
8672	2269
1889	2711
84224	100
249	0
5909	9
84196	1039
401944	6
3339	6658
23436	0
10136	0
998	3483
54361	9
9923	415
2046	0
712	0
714	0
713	0
2048	424
646262	0
729059	1
23028	2003
7798	1299
3352	48
10236	2862
80818	286
6920	7
55616	301
1870	111
3399	1085
6135	21937
6924	934
57095	780
11313	1416
2582	1222
3155	753
2517	881
1269	0
55629	281
10772	572
127294	2
58985	3
163702	77
57822	2
90529	341
57185	1309
11123	119
400746	0
10250	1522
25932	4670
864	0
25949	1054
57035	463
6007	2
23585	1655
6006	0
55219	361
26119	607
57134	20
57190	3463
56181	764
79000	57
164091	96
3925	4534
5051	258
2134	1
7780	0
84676	0
149420	120
79927	0
51042	322
10256	1
378807	0
64793	306
83442	3564
91544	540
1043	0
55057	17
257101	0
79727	0
79947	452
3151	4881
6195	665
8289	1262
55650	366
84243	415
2810	42
54707	360
63906	208
8431	0
10726	2810
126695	0
388610	157
115572	2
6548	735
23038	984
84065	558
84958	1
9064	214
8547	2
388611	0
2827	52
10163	3512
27245	1483
2268	0
2537	549
199870	121
23673	617
5511	816
9473	32
6118	870
27293	53
55113	249
2140	438
5724	12
22826	2536
93974	1756
83667	528
54797	291
65979	625
1104	1531
54952	278
115273	9
6883	406
10691	129
51441	1460
4985	0
2035	568
399474	3
6429	1117
51102	389
10076	50
4146	12
7805	3
9672	1796
9698	2301
79570	0
9410	823
51538	678
2170	18
347735	1657
64129	2
3061	0
553115	1014
1307	24
576	230
90853	751
8073	2784
10657	2573
55116	188
23633	1042
200081	1265
79140	144
55721	116
149069	30
56063	125
8668	3527
84734	5
3932	0
3065	1167
65108	842
100128071	29
81629	120
55108	1332
728116	9
653121	176
339487	294
5928	2328
81493	174
57648	1872
8565	1506
64766	320
252995	6
3208	1
113452	665
127544	284
204	3250
113451	70
55223	126
149076	297
127550	0
1912	2058
7579	90
114784	2
127540	0
84970	0
2709	1
127534	0
2707	0
2701	1
113444	620
58512	3
100506144	278
9204	318
79830	300
6421	3145
9202	1286
79932	1911
23154	804
339488	12
5690	2388
127703	393
63967	299
192670	306
26523	533
192669	100
27285	1
54936	718
1296	55
27095	1104
55700	2224
9967	2622
79729	182
55194	329
83931	517
84967	410
127700	129
64960	1190
1441	0
2899	0
80149	300
64769	817
79753	356
7802	198
29889	905
284654	0
54955	335
55143	697
284656	9
149175	632
79693	318
127687	541
4520	402
3633	315
10946	1961
2275	378
51118	579
5453	3
64121	645
26292	494
81025	15
54933	57
79647	1222
4725	2262
23499	9590
643314	310
353500	59
8761	2792
26508	16
84618	0
51440	0
10450	586
656	99
64064	4
54802	280
4610	22
84879	50
10487	6471
5538	2910
6018	697
127391	0
10269	1096
1298	160
64744	365
65243	27
339559	66
64789	122
127396	56
9783	70
4802	683
9132	157
163732	84
1503	650
200172	5
22955	463
100132074	33
1907	125
59269	25
2981	0
2980	0
22887	685
284716	266
84217	8
79717	690
728621	39
10465	431
4904	16356
149461	0
64175	1209
79078	151
100129924	3
374969	113
114625	171
51058	181
6513	22876
440585	1
10969	1120
149465	12
128218	8
149466	0
7075	3
4352	4
991	1534
64834	2068
112950	508
23334	605
81888	0
5792	7020
9682	750
6487	229
9048	6
9670	713
1802	468
533	1444
8704	958
149473	149
6536	25
128209	0
55929	499
79033	1062
55182	877
79639	105
339541	22
11004	1155
6202	23656
6210	14511
266675	2
1263	376
343521	15
149478	95
8643	18
8891	289
79654	939
7389	1487
57643	1
84842	9
4595	116
114034	218
10420	67
25974	151
5052	7603
10327	1192
4678	1681
149483	30
60313	1196
51249	772
3652	126
23139	917
8503	246
10103	53
55624	1917
541468	28
8438	237
10489	1304
7388	1813
387338	380
2166	9
127343	0
148930	0
8569	394
148932	141
64756	928
374973	2
9813	1702
1580	0
1579	0
260293	0
199974	0
284541	0
10158	33
6886	1
6491	392
51727	2632
2301	1
2306	8
388630	10
200010	10
54558	164
84871	3
79656	54
1996	1
63950	1
11124	808
1031	484
284546	0
26994	1552
22996	45
2060	872
114883	2314
4898	2222
5865	258
51060	1419
112970	216
91408	1115
9372	439
200014	730
4998	168
84950	646
23318	745
2882	0
348378	0
65260	317
79699	684
440590	15
55268	432
6342	2878
127435	1
6512	53
1376	690
54987	639
4116	321
7804	896
63948	0
148979	26
55706	1168
54432	403
1733	3
51668	445
115353	728
388633	0
9528	3269
127428	215
200008	0
606495	174
51253	2049
23648	644
26027	38
338094	1
374977	0
7268	410
25973	164
55001	1
163747	1
1718	8571
199964	0
7809	0
255738	1
23358	1193
8613	275
5563	649
199920	1
731	0
732	0
1600	36
115209	249
4070	0
114803	845
3725	2831
55277	171
51361	377
1573	61
127795	0
4774	430
83941	453
10207	280
54596	0
163782	0
7398	984
85440	1147
27329	0
84938	216
27022	1
29929	182
23421	396
84455	189
5236	1809
4919	548
148581	1
57685	189
55225	535
3716	3847
205	1633
9829	208
54741	2049
3953	190
5142	26
84251	24
200132	0
10022	1
79819	88
57708	1174
23169	219
400757	0
149233	0
3595	5
26135	7195
1647	1223
55970	6736
9077	1
79971	1092
6121	6
55635	1013
57554	100
55631	448
9295	3005
81573	605
11147	155
1491	103
5733	11
9406	1985
257194	247
127255	18
100526835	0
8790	184
51086	0
127254	5
1429	587
127253	506
431707	0
204962	644
34	734
5876	971
4438	11
127247	0
256435	181
81849	39
10026	904
26289	145
26009	869
23032	1104
374986	372
91624	497
8880	1939
11080	723
54810	1
5737	10
10964	37
10561	98
64123	0
23266	833
79739	272
5567	647
148418	9
58511	0
80135	669
2787	1611
100505741	11
1486	525
117178	659
23566	4
255231	99
55283	306
126820	47
84144	85
148423	328
8915	446
23576	2580
3491	3923
54680	370
255631	2
57489	227
9635	0
1179	0
22802	0
51100	1321
9403	3075
9653	980
101927844	0
8543	945
5586	1250
2959	548
56267	397
494115	218
2635	338
2633	245
2634	68
388646	0
115361	12
115362	4
163351	0
23507	196
84230	214
55144	732
284695	1076
343472	0
84146	812
164045	6
8317	255
7049	714
676	0
253152	216
646817	3
284697	18
23285	83
388649	0
11146	121
79871	269
2672	2
7813	320
6125	21146
388650	591
22823	386
50999	1943
343099	246
1810	854
54874	983
8412	978
30836	903
2730	434
24	5
9411	2807
5825	847
2152	3801
126969	86
1266	14100
199857	167
148534	503
100527978	14
25950	90
6129	921
58155	273
1806	415
51375	708
163404	0
9890	107
54873	1211
391059	36
178	499
23443	462
64645	1142
163786	223
54482	276
127495	10
1629	322
8634	461
8556	122
54112	1
7412	1
2135	525
148867	479
51611	663
1901	37
118427	0
1301	10535
101928436	0
55599	264
280	58
279	0
276	0
278	0
277	0
55170	589
22854	227
10451	0
29957	1170
148545	0
653149	0
284611	289
113802	1
55119	880
163479	4
6814	679
254268	0
29899	491
23155	522
22911	514
6884	109
56900	485
127003	2
57535	70
6301	2677
1952	925
84722	587
343263	5
6272	4091
5686	1375
284612	6
127002	83
284613	211
57463	129
83873	1
2773	1761
2780	4
271	997
2948	459
2946	327
2944	374
2949	0
2947	24
79574	0
1435	1694
10768	3589
85369	498
257	32
164153	0
388662	49
3749	28
64783	163
9122	94
10542	1373
84432	1
3744	0
3737	0
3738	0
963	0
55791	428
128338	704
10390	418
79961	151
1117	0
27159	0
128344	1
5016	30
79084	678
515	2979
128346	16
57413	0
140	0
5906	977
55924	125
11218	481
3752	69
643355	20
55917	860
7482	200
54879	478
829	3849
4343	828
389	3910
333926	16
284467	4
6566	2582
9860	146
260425	362
10745	445
54665	295
26191	0
440603	2
10717	174
64858	289
204851	974
56944	2
148281	0
51592	881
10286	619
163259	5
270	0
4893	1198
7812	10988
80143	508
6847	0
7252	0
10100	152
4803	281
81839	681
845	0
4808	0
55356	4
126868	0
476	9887
965	429
3321	182
388667	0
914	0
5738	219
9398	0
8458	619
80263	100
79679	0
10905	699
54855	18
54834	254
10885	1033
200162	9
6913	0
10352	249
51179	0
3284	0
3283	0
90874	71
26227	2449
3158	0
83998	0
343505	0
11085	0
4853	4952
653820	103
2210	2
647135	482
644591	1
728833	0
554282	0
100288142	17
653598	0
653505	0
400818	511
9659	614
9554	1495
388677	584
100132406	10
25832	3
148738	0
10628	1936
84265	288
284615	72
128077	420
9939	1378
8799	440
8515	11
148741	1
10401	461
200035	66
10623	463
27246	304
11126	2
5174	5
653519	84
200030	92
149013	59
5565	465
2330	8
9557	592
607	416
51205	325
2702	0
2703	0
51463	23
728841	162
284565	335
728945	0
645142	0
730262	0
440689	1
2209	1
653604	3
8370	0
554313	0
8337	0
723790	0
126961	0
333932	0
8349	99
8338	16
317772	2
51027	124
9900	589
10262	1311
10903	290
56957	557
11311	663
51177	894
81611	1391
23632	10
51107	2488
79630	4
148523	124
54460	1391
9129	729
23248	859
80222	641
1893	2877
54507	670
4170	3683
2029	2637
55204	475
84072	0
1520	12
1513	1637
405	700
9869	537
29956	3041
8416	127
55793	270
58497	304
149428	10
54964	120
56882	1345
10962	745
126626	57
10500	96
100534012	0
79626	0
388695	110
79005	4
29765	11
6944	840
8394	1502
5710	1876
57592	685
5298	1326
5993	948
8991	10
5692	3327
23126	999
57530	113
7286	1019
81609	374
11189	2
284485	0
65005	827
51686	32
11022	289
339398	0
6097	74
100191040	5
284486	9
117145	221
6281	6536
6282	1712
100131107	0
126637	1
7062	2
126638	0
388697	39
2312	358
388698	8
49860	1
254910	1
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	2
3713	77
163778	0
6698	0
6707	0
6699	0
6703	0
6700	0
6701	0
6704	0
6705	0
6706	0
149018	0
574414	0
4014	0
114771	0
57115	0
6280	0
6283	0
6279	0
338324	0
645922	0
6278	0
6277	25905
6276	4
6275	194
6274	621
6273	739
140576	1106
57402	0
6284	615
6271	12
26097	767
23557	559
3608	3804
4881	18
65123	1492
11000	139
57459	603
9909	731
200186	611
27173	3173
148327	164
10899	1836
5872	2121
91181	6
7170	5772
388701	1
25912	3857
9898	3306
10456	1208
89872	0
57198	978
3570	62
126669	1
126668	0
55585	1365
1141	5
103	2869
3782	1
10654	373
57326	2103
90780	690
6464	5575
1163	933
80308	448
55891	0
51043	791
127579	1
149095	4
8751	5405
1945	155
1944	108
1942	192
55974	627
54344	394
200185	1088
80128	197
4582	97
7059	403
4580	483
2629	2998
10712	1204
10067	1473
1196	620
57657	155
5313	3
2224	4188
284618	5
23623	668
55870	1516
55154	369
55249	1044
7818	1421
54856	725
23208	1508
6016	463
22889	714
339403	1
9181	1239
6746	4488
56893	1188
28956	557
57111	0
92312	334
4000	8515
64218	207
9673	737
100527963	1
11243	434
632	2
79957	95
23381	1775
84283	100
112770	2345
391104	0
7203	5255
128229	11
57127	0
10485	0
4209	736
128239	1370
164118	1
128240	1554
54865	599
60484	0
63827	48
10763	17
1382	36
81875	627
51093	308
79590	990
3068	6340
5546	1257
9047	25
4914	2
3645	0
375033	214
149499	5
9826	829
440695	0
2117	111
83416	0
83417	0
115352	0
79368	0
115350	0
922	1
55243	2292
912	1
909	0
911	0
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	0
391114	0
128371	0
128372	0
81442	0
4332	0
149628	0
107181291	1
3428	295
9447	0
57863	0
2532	0
2205	0
441911	1
26476	0
127385	0
325	0
1401	0
54935	1017
343413	0
56833	6
284677	19
391123	21
25790	17
8407	17858
57549	1
89886	1
93183	258
3766	4
3765	0
93185	473
477	9
480	2
844	4
8682	6937
50717	1764
5824	1280
1314	4262
23385	4103
4807	10
57216	0
114836	0
8832	0
6504	0
962	1
57823	393
4063	0
51744	0
55600	0
142683	0
50848	969
100131187	250
7391	487
257106	8
81607	1
126823	71
5202	612
4817	384
9191	470
51506	940
27005	375
5498	300
8703	641
9507	0
4720	1874
2207	2
336	0
84134	210
9970	5
654790	0
4359	39
6391	1524
257177	70
2212	28
3310	6
2214	0
2213	0
9103	0
2215	0
84824	8
127943	16
11266	290
22926	1553
25903	13
9722	93
284680	2
400793	297
117157	0
127933	1922
6675	1319
4921	840
51478	580
339512	13
5999	18
8490	94
83540	590
5087	284
4009	0
6258	0
440699	0
4259	1954
223	1468
54499	1784
7371	876
149297	1
57645	796
117143	228
387597	0
84944	0
10223	1
92235	0
5451	291
919	3
8804	1235
92241	0
9019	1408
55811	6
25874	778
55827	1441
23432	273
261726	766
375035	28
9095	22
6846	0
6375	0
1805	0
481	2527
29922	401
8548	380
57821	110
10560	716
2153	0
6403	0
6402	0
6401	0
92342	81
55732	243
57147	217
22920	783
149281	1
92344	343
5396	180
80133	0
2328	0
2327	1
2326	0
2329	47
23215	3123
4653	1
8674	234
51603	694
26052	41
92346	0
5279	361
51430	1201
356	2
8995	3
7292	19
9588	4442
284525	3
339416	22
730159	1
27252	432
91687	151
55157	580
84614	30
462	3
149041	361
9910	291
9293	0
27101	1738
63931	517
63923	2
9674	0
7143	0
64326	508
60676	83
460	73
57795	6
89866	17
9462	728
84066	3
55103	856
9068	0
9917	840
64222	356
27	5341
6646	1376
126859	2
7827	0
163589	3
148753	0
163590	573
26092	919
9857	916
5768	9039
89884	46
84320	579
9213	992
57710	13
10228	723
3140	526
51278	1211
777	0
127665	1
2752	1188
127670	1
353299	0
6041	75
6004	0
85397	0
80896	0
1660	3932
81626	0
3915	6000
3918	57
23057	94
9887	1139
4688	1
10092	2819
23179	1265
403314	0
23127	95
116461	559
81563	348
80267	558
116496	5
6045	331
81627	352
54823	101
10625	2632
83872	1355
10216	3
7175	3140
54953	427
10896	3
5132	1
5743	0
5321	132
339479	0
64407	0
431704	0
5996	0
6003	0
5997	36
51377	602
6738	312
51022	169
79577	731
8707	1
343450	200
3075	159
10878	0
3078	3
10877	0
3080	1
81494	0
2165	2
259266	1698
360023	373
23418	2
163486	505
388722	33
56956	0
140609	842
127124	1
5788	0
2494	0
23528	522
9928	463
83479	219
23271	1232
2848	0
55765	1
23046	119
779	0
647219	0
252839	1694
91156	9
5317	0
7139	1
3898	0
7135	0
23612	2020
1465	329
89796	1698
55705	2456
149345	677
25802	193
10440	1014
6051	2125
1999	580
9283	13
127829	1003
5778	0
59352	0
29089	648
4660	311
127833	5
10765	1400
5877	251
59349	643
51094	1828
51706	612
92703	858
8497	283
4656	0
134	448
4608	2
1116	39
1118	2
7832	785
2331	0
5549	4
26254	2
493	4942
54900	1
9877	2013
100381270	194
6635	1177
9580	334
55224	109
5972	0
3814	1
127845	13
22874	503
84919	666
5287	108
4194	260
10446	4
23114	1706
6900	0
388730	23
5929	443
25778	567
9911	196
81788	130
55220	0
93273	3
5129	2726
148808	26
2005	587
85414	147
64710	4200
8934	786
254428	794
148811	1
115019	0
729533	74
553	0
440712	0
1510	0
653464	52
23380	714
9641	149
83593	103
1939	1282
8444	359
9261	1173
3586	1
29949	0
50604	1
11009	0
9214	2
5284	1
83953	1
79098	107
55432	774
5208	762
725	17
722	1
1604	1510
1380	0
1378	0
1379	0
4179	3651
947	2
5362	51
642587	0
57172	5
3914	517
50486	0
3290	4
80342	1
148304	102
3664	1
27042	597
255928	116
56256	101
55733	209
3756	18
55758	645
7188	157
343035	0
7779	330
4751	612
9926	453
25896	313
51514	770
5525	773
55248	290
29937	1524
467	195
149647	1
55509	11
25936	480
128387	196
149643	1
28982	306
79805	40
90806	290
26750	419
5629	0
56950	560
5784	1005
1063	3336
3776	67
51133	1166
7399	18
2104	16
55105	245
128153	15
51018	342
7042	3139
127018	586
55532	1
2058	2703
10380	489
55699	2322
25782	958
4139	269
79762	284
54996	178
64757	486
3142	29
11221	549
79802	4
9015	81
375056	1410
64853	840
148362	812
400823	9
84976	123
7100	0
55061	1
164127	0
388743	0
824	10991
7159	1729
23219	618
8560	1690
4931	355
29097	1041
80232	1712
149111	32
127602	166
3930	1240
55740	2657
6726	3458
2052	981
9725	567
10637	0
29920	727
7044	4
163859	210
3020	3902
64746	1106
83881	0
286826	176
142	2265
375057	1
3707	1063
5664	184
56997	334
8476	878
339500	95
65094	344
116841	489
339501	0
7483	56
89780	0
375	5778
79169	286
128308	432
2987	2374
57165	61
200205	150
84033	1406
81559	697
51127	5
8290	1
92815	259
128312	6
149603	3345
100129094	0
58480	9
5867	647
10638	0
126731	341
58	6
55746	897
23456	326
27097	362
9816	214
2590	6250
79605	0
22796	416
183	10
10753	1
84886	361
79573	253
64801	381
375061	0
440730	0
149373	0
128061	165
8443	757
149371	264
83932	278
54583	1425
7257	905
27185	148
57568	42
54627	80
84284	807
80003	404
84451	177
3775	71
148641	24
388753	211
6894	365
359948	1561
9804	5063
23029	526
51742	770
9453	636
6905	496
148789	492
2786	18
1130	1027
4811	593
7107	331
56605	92
128178	8
3964	1169
55127	1115
88	4
4548	902
645745	0
6262	54
57829	0
1131	65
56776	180
64388	0
6000	115
2271	1795
8564	229
23596	412
1122	747
128025	2
9156	407
441925	0
440738	10
200150	77
9859	1489
10806	400
10000	1180
10472	491
200159	0
159	948
257044	12
51029	818
116228	1149
3192	7045
84288	46
55083	1
64754	333
64216	289
163882	466
51097	1443
25909	1254
57116	29
93474	60
79862	75
388759	5
7678	90
317705	0
84838	346
114548	0
127623	0
441932	0
148823	0
81472	0
81470	0
81469	0
441933	0
343169	0
26188	0
284532	0
391189	0
25893	387
343171	26
343172	0
284521	0
391190	0
391191	0
81466	0
26246	1
391192	0
127059	0
391194	0
127062	1
26245	0
391195	1
127064	0
391196	0
127066	0
127074	0
254879	0
26696	0
401992	0
343173	0
401993	0
391211	0
343563	0
127068	0
127069	0
127077	0
403244	0
403239	0
401994	0
646627	0
80851	780
79894	486
55657	402
267002	93
347688	1
10771	1548
22982	732
23185	1299
